ID,Weighted_Score
A0A3B0XHN3_0_1,49.473572591223906
A0A1G0AW29_1_1,56.20218701839995
A0A1G0AW29_2_1,56.31819666981082
A0A1G0AW29_3_1,56.53208005592074
Q59462_4_1,55.412391415862274
Q59462_5_1,55.35783935716831
U3U4M7_6_1,48.28806243992052
A0A1G0AW29_7_1,57.275046424762145
A0A1G0AW29_8_1,56.33663680584389
A0A1G0AW29_9_1,56.032069073313956
OGS68397.1,56.57564045601422
Q59462.3,55.198867546487904
Q60028.3,55.553065507569045
Q31IK3.1,54.600402534181974
O84917.1,55.520836323885675
Q9ZHZ4.1,55.22038621915056
A1VNQ9.1,55.41570518641531
Q21YM9.1,55.24604710168479
P50922.1,54.79744332782936
D5AUD5.1,54.967691802135974
